"","Metro","Race","y1_ASDR","y2_ASDR","pct_change_dr","pct_change_dr_lower","pct_change_dr_upper","y1_rr","y1_rr_lower","y1_rr_upper","y2_rr","y2_rr_lower","y2_rr_upper","pct_change_rr","pct_change_rr_lower","pct_change_rr_upper"
"1","Large Metro","Hispanic",416.408949417392,199.651119762209,-52.0540756769167,-52.9838791675899,-51.1242721862435,2.19620255273675,2.17590380624371,2.2165012992298,1.33592320864437,1.3196573773628,1.35218903992593,-39.1712204787471,-40.1010753583092,-38.241365599185
"2","Large Metro","Non-Hispanic AI/AN",255.463871863262,218.635505194872,-14.4162720152081,-22.8977326258281,-5.93481140458811,1.34735434553722,1.26190390879799,1.43280478227645,1.46295320542851,1.36593950416052,1.55996690669651,8.57969251178684,-1.38346663794807,18.5428516615217
"3","Large Metro","Non-Hispanic Asian",198.734076327316,81.1063453673062,-59.1885061353426,-60.9403626694476,-57.4366496012377,1.04815299084348,1.03166684344428,1.06463913824269,0.542705942614098,0.530057926631548,0.555353958596648,-48.2226404584922,-49.6784396697427,-46.7668412472417
"4","Large Metro","Non-Hispanic Black",347.172054791419,234.28790280103,-32.5153336601962,-33.6305948966924,-31.4000724237,1.83103690263755,1.81256418166894,1.84950962360616,1.56768791093831,1.54923332241327,1.58614249946335,-14.3825059625995,-15.7098744597941,-13.0551374654049
"5","Large Metro","Non-Hispanic NHOPI",380.964510124201,371.472178961034,-2.49165759825567,-14.2611492814197,9.27783408490837,2.00926332348882,1.836319081388,2.18220756558964,2.48562745769119,2.28010350074015,2.69115141464224,23.7083974327082,8.94327316907265,38.4735216963437
"6","Large Metro","Non-Hipanic White",189.60407313,149.448050958562,-21.1788816076253,-21.8570791111499,-20.5006841041007,1,0.992865415696323,1.00713458430368,1,0.991867663918991,1.00813233608101,0,-1.08183724894621,1.08183724894621
"7","Medium/Small Metro","Hispanic",404.909439559443,247.846293695985,-38.7896972800508,-40.4122266514478,-37.1671679086538,2.2176824141417,2.18576668980424,2.24959813847916,1.28229795681804,1.26067513385627,1.30392077977981,-42.1784675460701,-43.4603077240085,-40.8966273681317
"8","Medium/Small Metro","Non-Hispanic AI/AN",394.281895088415,301.517721805188,-23.5273732927619,-29.6037881624281,-17.4509584230957,2.15947552594332,2.05815811850848,2.26079293337815,1.55998119983783,1.47969322398004,1.64026917569563,-27.7611076811628,-32.7920375942585,-22.7301777680672
"9","Medium/Small Metro","Non-Hispanic Asian",138.995994738229,100.942965731017,-27.3770687269634,-32.2657917772767,-22.4883456766502,0.761278802248941,0.732250646168567,0.790306958329314,0.522254970134073,0.499605491939649,0.544904448328497,-31.3976734159355,-35.3592982242135,-27.4360486076575
"10","Medium/Small Metro","Non-Hispanic Black",345.985360355186,277.110061817082,-19.9069979340737,-21.8386801015629,-17.9753157665846,1.89495619080902,1.86490612083057,1.92500626078747,1.43370175435277,1.40956625109169,1.45783725761385,-24.3411662334697,-26.0909485221466,-22.5913839447928
"11","Medium/Small Metro","Non-Hispanic NHOPI",254.122626597201,282.740286375622,11.2613584085851,-4.14681342968541,26.6695302468556,1.39182549227128,1.24061574241778,1.54303524212479,1.46283120123769,1.31868451548993,1.60697788698546,5.10162440339703,-10.3139473296091,20.5171961364032
"12","Medium/Small Metro","Non-Hipanic White",182.582247565034,193.282920227841,5.86074101152424,4.97971299350321,6.74176902954527,1,0.991431028297399,1.0085689717026,1,0.991455611227533,1.00854438877247,0,-1.21009857257593,1.21009857257593
"13","Nonmetro","Hispanic",417.002979903991,306.902435247141,-26.4028196350538,-29.642458517728,-23.1631807523796,1.91356683374075,1.86337293154654,1.96376073593496,1.19740800968449,1.16314229745875,1.23167372191024,-37.4253363628939,-39.8544503939322,-34.9962223318555
"14","Nonmetro","Non-Hispanic AI/AN",617.811947148127,373.571797843148,-39.5330893862464,-43.7446762914187,-35.3215024810742,2.83505036780226,2.73760765636912,2.93249307923539,1.45752464482535,1.39533464315227,1.51971464649842,-48.5891093372275,-51.4059027312421,-45.7723159432129
"15","Nonmetro","Non-Hispanic Asian",125.274714564406,108.91181757353,-13.0616118725728,-26.842302193036,0.719078447890313,0.57486768788074,0.515973428530461,0.633761947231019,0.424929449017971,0.379634605949587,0.470224292086355,-26.0822171820996,-37.0105324106615,-15.1539019535377
"16","Nonmetro","Non-Hispanic Black",455.64385487653,307.480961492052,-32.5172592143545,-35.0470182211136,-29.9875002075953,2.09088426392122,2.04686368574795,2.13490484209448,1.19966518290931,1.17021331029891,1.2291170555197,-42.6240273739748,-44.4796403886118,-40.7684143593378
"17","Nonmetro","Non-Hispanic NHOPI",153.83648734095,232.715949674903,51.2748722343942,10.3543623169663,92.195382151822,0.70593356446181,0.519056130465864,0.892810998457757,0.90796262954925,0.720509716669544,1.09541554242896,28.6187079433548,-14.5600574495208,71.7974733362304
"18","Nonmetro","Non-Hipanic White",217.919213769404,256.305647502731,17.6149835846721,16.5000223121405,18.7299448572038,1,0.989521262258634,1.01047873774137,1,0.98998227084993,1.01001772915007,0,-1.44968562790867,1.44968562790867
"19","Total","Hispanic",413.549997506635,218.717944729039,-47.1120913921587,-47.895793369572,-46.3283894147454,2.15009641588545,2.13440135304639,2.16579147872451,1.19469005441121,1.18372437002636,1.20565573879605,-44.435512492159,-45.0871442147717,-43.7838807695463
"20","Total","Non-Hispanic AI/AN",441.761443323844,306.135611685695,-30.7011473472403,-33.9163634373753,-27.4859312571053,2.29677113213316,2.23878730701586,2.35475495725046,1.67218639071928,1.62306349246104,1.72130928897752,-27.194034820256,-30.0141042981375,-24.3739653423744
"21","Total","Non-Hispanic Asian",187.029467156986,85.0948170925804,-54.5019197316352,-56.1408314490386,-52.8630080142318,0.972388802862338,0.958621881995341,0.986155723729336,0.46480837129478,0.45552061850331,0.47409612408625,-52.1993291236424,-53.3699289065624,-51.0287293407224
"22","Total","Non-Hispanic Black",356.465428921281,251.142319350581,-29.5465144795172,-30.4501904847901,-28.6428384742443,1.85330684495632,1.83882106759134,1.86779262232129,1.37179979238378,1.35967184228443,1.38392774248313,-25.980967689346,-26.8544368997002,-25.1074984789919
"23","Total","Non-Hispanic NHOPI",306.480521714175,321.259710316217,4.82222769635767,-4.30099591261086,13.9454513053262,1.59342927154963,1.48892009385121,1.69793844924805,1.75479785745651,1.64829242368936,1.86130329122367,10.1271257399425,0.286002592346692,19.9682488875383
"24","Total","Non-Hipanic White",192.340210630195,183.075052748165,-4.81706755528332,-5.3019380393277,-4.33219707123893,1,0.995137025227525,1.00486297477247,1,0.994920945737731,1.00507905426227,0,-0.703173633157536,0.703173633157536
