"","Metro","Race","initial_ASDR","omicron_ASDR","pct_change_dr","pct_change_dr_lower","pct_change_dr_upper","initial_rr","initial_rr_lower","initial_rr_upper","omicron_rr","omicron_rr_lower","omicron_rr_upper","pct_change_rr","pct_change_rr_lower","pct_change_rr_upper"
"1","Large Metro","Hispanic",403.036275741408,255.114171251249,-36.7019331493294,-38.6111230313564,-34.7927432673025,1.92574391711873,1.88992802314016,1.96155981109729,1.09092315390922,1.07082945656203,1.11101685125642,-43.3505595312252,-44.8333927678646,-41.8677262945859
"2","Large Metro","Non-Hispanic AI/AN",122.286704596222,333.421862058803,172.65585670963,141.237738194795,204.073975224465,0.584296976959372,0.475274614049409,0.693319339869334,1.42578370913487,1.29302390949035,1.5585435087794,144.016958046663,93.1319997901947,194.901916303132
"3","Large Metro","Non-Hispanic Asian",239.966230417966,118.175360011607,-50.7533373317686,-53.9150680442843,-47.5916066192529,1.14658043544896,1.11340246955026,1.17975840134765,0.505343297183019,0.488490765349717,0.522195829016321,-55.9260491842295,-57.8720289155794,-53.9800694528796
"4","Large Metro","Non-Hispanic Black",590.688408487524,311.876639366226,-47.2011580242795,-48.7799380486972,-45.6223779998619,2.82236284429948,2.77563843853171,2.86908725006725,1.33365169554981,1.3103848578351,1.35691853326451,-52.7469794238726,-53.8834434062695,-51.6105154414758
"5","Large Metro","Non-Hipanic White",209.288614212229,233.851642379274,11.73643786572,10.430025863412,13.042849868028,1,0.986426142151945,1.01357385784806,1,0.988782827894276,1.01121717210572,0,-1.76089342928144,1.76089342928144
"6","Medium/Small Metro","Hispanic",120.325521274596,335.238848379175,178.609928158237,170.427112472746,186.792743843728,1.38482856955424,1.31338806798334,1.45626907112515,1.21066923841763,1.18017292839063,1.24116554844463,-12.5762375911027,-17.5951813615306,-7.55729382067491
"7","Medium/Small Metro","Non-Hispanic AI/AN",233.052472615837,440.540575578476,89.0306378789908,70.5696764642696,107.491599293712,2.68220506227558,2.35055820081584,3.01385192373531,1.59095202034702,1.47382357358223,1.70808046711182,-40.6849221663438,-49.220678240262,-32.1491660924255
"8","Medium/Small Metro","Non-Hispanic Asian",63.9252180755233,138.046262751879,115.949615672467,98.2734620203285,133.625769324605,0.735716474512047,0.652418875477423,0.819014073546672,0.498535192446388,0.466643906611589,0.530426478281186,-32.2381366032297,-41.0500084510178,-23.4262647554417
"9","Medium/Small Metro","Non-Hispanic Black",249.20790870744,326.615693428641,31.0615281524131,26.2579396150567,35.8651166897695,2.86813826427853,2.75656326048155,2.9797132680755,1.17952789400843,1.14796581581393,1.21108997220293,-58.8747896606325,-60.8165498559949,-56.9330294652701
"10","Medium/Small Metro","Non-Hipanic White",86.8883874293025,276.903746903935,218.689015985295,215.416348894844,221.961683075746,1,0.975242803986067,1.02475719601393,1,0.987729616882189,1.01227038311781,0,-2.76311609660205,2.76311609660205
"11","Nonmetro","Hispanic",83.0573631741363,403.67819982931,386.023375173814,362.613536222833,409.433214124795,1.78516021878818,1.57760591922957,1.99271451834679,1.07723939094773,1.03037660881946,1.124102173076,-39.6558706826331,-47.1469026845626,-32.1648386807036
"12","Nonmetro","Non-Hispanic AI/AN",273.826897290143,547.646741552182,99.9974242749075,84.2861277314828,115.708720818332,5.88538890708221,5.26126944621218,6.50950836795223,1.46142804484768,1.37230779266025,1.55054829703512,-75.1685391072616,-78.2061507727464,-72.1309274417767
"13","Nonmetro","Non-Hispanic Asian",31.7801697316334,155.999434145144,390.870361808877,305.217071379509,476.523652238246,0.683054368488723,0.402549117205694,0.963559619771751,0.416293809023531,0.352351589066394,0.480236028980668,-39.0540741369398,-65.7757038367754,-12.3324444371041
"14","Nonmetro","Non-Hispanic Black",256.406949703842,345.680125769368,34.8169876708254,27.4087259461958,42.2252493954549,5.51098023028325,5.1710801878188,5.85088027274769,0.922468065662166,0.885624749383873,0.959311381940459,-83.2612706430494,-84.4912239503828,-82.031317335716
"15","Nonmetro","Non-Hipanic White",46.5265595210933,374.733975773169,705.419484334059,696.707202840084,714.131765828035,1,0.954581893032986,1.04541810696701,1,0.985779623084552,1.01422037691545,0,-4.7592263657915,4.7592263657915
"16","Total","Hispanic",311.930176137003,285.0128876727,-8.62926722821494,-10.5396723408598,-6.7188621155701,2.22779983338628,2.18977251230101,2.26582715447156,1.04262142685447,1.02812646644924,1.0571163872597,-53.1995015337768,-54.229796665386,-52.1692064021677
"17","Total","Non-Hispanic AI/AN",217.738746360485,451.91818134329,107.550649067805,96.3206245049932,118.780673630618,1.55508629806491,1.44247462832988,1.66769796779993,1.65318692393554,1.58400352552391,1.72237032234718,6.30837182429746,-2.58299903233656,15.1997426809315
"18","Total","Non-Hispanic Asian",205.681718744141,122.418696033135,-40.4814891762847,-43.6209485908829,-37.3420297616865,1.46897521882444,1.42829162138513,1.50965881626376,0.447826610838401,0.43492434109316,0.460728880583643,-69.5143522436834,-70.7326691417644,-68.2960353456024
"19","Total","Non-Hispanic Black",478.52254069887,318.438020435308,-33.4539142147332,-34.9347126200722,-31.9731158093942,3.4175995719385,3.36736143394475,3.46783770993225,1.16489575591488,1.14914971916135,1.18064179266842,-65.9147968802518,-66.5954755741423,-65.2341181863612
"20","Total","Non-Hipanic White",140.017146721331,273.361816985258,95.2345290461578,93.9538988418875,96.5151592504282,1,0.988477937214678,1.01152206278532,1,0.992842965288555,1.00715703471145,0,-1.35639624258448,1.35639624258448
