"Race","Wave","totalDiff","nonwhite_mort","white_mort","geo_shift","prop_shift","checkDiff","per_nonwhite_mort","per_white_mort","per_geo_shift","per_prop_shift"
"Hispanic","Alpha",-5.49307948975496,110.47,-54.93,-61.05,0.01,-5.49307948975498,-20.1107594029971,9.99985529108925,11.1139844442199,-0.00182047247243569
"NH Black","Alpha",-255.496163198582,-133.8,-54.93,-66.71,-0.06,-255.496163198582,0.523686924785657,0.214993443785323,0.261099811303821,0.000234837186002537
"Hispanic","Delta",-137.925521479132,-48.36,-17.31,-72.31,0.05,-137.925521479132,0.350624014188099,0.125502516244747,0.524268454630716,-0.000362514489441789
"NH Black","Delta",-267.806527322102,-178.98,-17.31,-71.34,-0.18,-267.806527322101,0.668318288540942,0.0646362139604632,0.266386337604821,0.000672127008254384
"Hispanic","Omicron",-160.261958728231,31.49,-119.57,-72.39,0.2,-160.261958728231,-0.196490797004423,0.746090968492183,0.451697961103531,-0.00124795679266067
"NH Black","Omicron",-293.429190527489,-116.14,-119.57,-57.49,-0.23,-293.429190527489,0.395802475517921,0.407491837417581,0.195924610965432,0.000783834762950938
"Hispanic","Second",103.811920503185,109.63,58.14,-64.02,0.06,103.811920503185,1.05604442600247,0.560051290046372,-0.616692184189349,0.000577968307581395
"NH Black","Second",-175.547705348856,-163.6,58.14,-70.06,-0.03,-175.547705348856,0.93194040716674,-0.331192024894097,0.39909379539182,0.000170893717695612
